1,Castel Romano Joy Run,"2023-05-21 08:45:00.000000",Roma(RM),10000,https://www.mcarthurglen.com/it/outlets/it/designer-outlet-castel-romano/novita/castel-romano-joyrun/
2,Civitavecchia Run,"2023-05-21 10:00:00.000000",Civitavecchia(RM),9900,https://www.forhansteam.it/civitavecchia-run/
3,Corrimaggio Larianese,"2023-05-21 10:00:00.000000",Lariano(RM),10000,https://www.uisp.it/latina2/pagina/15-corrimaggio-larianese
4,Maratonina dellePeriferie,"2023-05-21 09:00:00.000000",Roma(RM),10000,https://www.uisp.it/latina2/pagina/15-corrimaggio-larianese
5,RinCORRIAMO LA PACEcon Emergency,"2023-05-21 09:00:00.000000",Ostia(RM),10000,https://www.runnersforemergency.it/corri-per-emergency/
6,Trail Delle Carbonaie,"2023-05-21 09:30:00.000000",Rocca di Papa(RM),15000,https://www.runnersforemergency.it/corri-per-emergency/
7,ValeCorrere,"2023-05-21 10:00:00.000000",Roma(RM),8000,http://www.valentinavenanzi.it/
8,Cronoscalata al Tuscolo,"2023-05-21 09:30:00.000000",Frascati(RM),9600,http://www.filippiderunnersteam.com/
9,Maratonina di VillaAdriana,"2023-05-21 09:00:00.000000",Villa Adriana(RM),10000,https://www.sempredicorsa.com/
10,Trail dei MontiSimbruini (Fast),"2023-05-28 09:45:00.000000",Subiaco(RM),12000,http://www.traildeimontisimbruini.it
11,Trail dei MontiSimbruini (Long),"2023-05-28 07:30:00.000000",Subiaco(RM),48000,http://www.traildeimontisimbruini.it
12,Trail dei MontiSimbruini (Medium),"2023-05-28 09:15:00.000000",Subiaco(RM),24000,http://www.traildeimontisimbruini.it
13,Albarace,"2023-06-01 05:30:00.000000",Roma(RM),6000,https://www.albarace.it/
14,Corriamo al Cavaliere,"2023-06-02 08:30:00.000000",Guidonia(RM),10100,https://www.tiburtinarunning.it/index.php
15,Etrurian Trail,"2023-06-02 09:00:00.000000",Cerveteri(RM),12500,http://www.alsiumcaeretrail.it/
16,Trail dei MontiLucretili,"2023-06-04 09:00:00.000000",Vicovaro(RM),21060,http://www.alsiumcaeretrail.it/
17,Trofeo S'Agostino,"2023-06-04 09:00:00.000000",Carpineto Romano(RM),9400,http://www.alsiumcaeretrail.it/
18,CORRI CASAL MONASTERO,"2023-06-11 08:30:00.000000",Casal Monastero(RM),10100,https://www.corricasalmonastero.it/
19,Maratonina di SanLuigi,"2023-06-11 09:30:00.000000",Guidonia Montecelio(RM),10200,http://maratonina-di-san-luigi.webnode.it/
20,Trofeo San Barnaba,"2023-06-11 08:45:00.000000",Marino(RM),9900,https://www.amiciparcocastelliromani.it/
21,PalestrinaArcheologica,"2023-06-18 09:00:00.000000",Palestrina(RM),9600,http://www.palestrinarunning.it/
22,Maratonina dellaLumaca,"2023-06-25 09:00:00.000000",Valmontone(RM),9500,http://www.podistivalmontone.it/
23,La Jennesina,"2023-07-08 18:00:00.000000",Jenne(RM),10200,http://www.tivolimarathon.it/
24,6 Ore di Roma,"2023-07-10 00:00:00.000000",Roma(RM),6,https://www.asdvilladesanctis.it/6hroma/index.php
25,La Speata,"2023-08-06 09:30:00.000000",Subiaco(RM),12000,http://www.gruppomarciatorisimbruini.it/la-speata
26,Corri Gavignano,"2023-08-26 18:00:00.000000",Gavignano(RM),9400,http://www.gruppomarciatorisimbruini.it/la-speata
27,La Corsa della CroceRossa,"2023-09-03 08:30:00.000000",Monterotondo(RM),6000,http://www.atleticomonterotondo.it
28,Correndo Nei Giardini,"2023-09-10 09:30:00.000000",Ladispoli(RM),10100,http://www.atleticomonterotondo.it
29,Le Antiche Fontane del Borgo,"2023-09-10 09:30:00.000000",Rocca di Papa(RM),10100,http://www.atleticomonterotondo.it
30,MILLENNIUM RUNNING,"2023-09-10 10:00:00.000000",Palombara Sabina(RM),9900,https://www.millenniumrunning.it
31,Corsa del Centenario,"2023-09-17 09:30:00.000000",Vigna di Valle(RM),10200,http://www.traildeiduelaghi.it/
32,Corsa del Centenario Aeronautica Militare,"2023-09-17 09:30:00.000000",Guidonia(RM),10000,http://www.traildeiduelaghi.it/
33,Corsa del PaneGenzanese,"2023-09-17 09:15:00.000000",Genzano(RM),10000,http://www.genzanomarathon.it/
34,Corricolonna,"2023-09-24 09:30:00.000000",Colonna(RM),9900,http://www.runningevolution.it/
35,Corri Castelnuovo,"2023-10-01 09:30:00.000000",Castelnuovo di Porto(RM),9000,http://www.runningevolution.it/
36,La Mezza dei Castelli Romani,"2023-10-08 09:00:00.000000",Ariccia(RM),21000,http://www.amiciparcocastelliromani.it/
37,Corsa delle 3 ville ~Trofeo Irilli,"2023-10-22 09:30:00.000000",Tivoli(RM),12000,https://www.tivolimarathon.it/
38,Maratonina delleCastagne,"2023-10-22 09:30:00.000000",Rocca di Papa(RM),9800,http://www.atleticaroccadipapa.com/
39,Straviterbo,"2023-10-22 10:00:00.000000",Viterbo(RM),10000,http://www.atleticaroccadipapa.com/
40,Trail Pratoni delVivaro,"2023-11-19 09:30:00.000000",Rocca di Papa(RM),13000,http://www.atleticaroccadipapa.com/
41,MILLENNIUM TRAIL MONTEGENNARO Circuito Trail Cup,"2023-11-26 10:00:00.000000",Palombara Sabina(RM),18000,https://trail.millenniumrunning.it/
42,La Natalina,"2023-12-08 09:30:00.000000",Monterotondo(RM),10000,http://www.atleticomonterotondo.it/joomla/
